file,window_idx,true_label,pred_label,prob_seizure,peak_time_segment,peak_channel,peak_brain_region,correct
aaaaaaaq_s006_t000.pt,0,0,0,0.0721,Mid 3-6s,c4,Central,1
aaaaaaaq_s006_t000.pt,1,0,0,0.0164,Late 9-10s,fz,Frontal,1
aaaaaaaq_s006_t000.pt,2,0,0,0.0271,Mid 3-6s,c3,Central,1
aaaaaaaq_s006_t000.pt,3,0,0,0.0164,Late 9-10s,fz,Frontal,1
aaaaaaaq_s006_t000.pt,4,0,0,0.0271,Mid 3-6s,c3,Central,1
aaaaaaaq_s006_t000.pt,5,0,0,0.0164,Late 9-10s,fz,Frontal,1
aaaaaaaq_s006_t000.pt,6,0,0,0.0271,Mid 3-6s,c3,Central,1
aaaaaaaq_s006_t000.pt,7,0,0,0.0337,Mid-Late 6-9s,fz,Frontal,1
aaaaaaaq_s006_t000.pt,8,0,0,0.0662,Mid-Late 6-9s,f4,Frontal,1
aaaaaaaq_s006_t000.pt,9,0,0,0.0447,Late 9-10s,p4,Parietal,1
aaaaaaaq_s006_t000.pt,10,0,0,0.2058,Mid 3-6s,p4,Parietal,1
aaaaaaaq_s006_t000.pt,11,0,0,0.1105,Late 9-10s,p4,Parietal,1
aaaaaaaq_s006_t000.pt,12,0,0,0.296,Mid 3-6s,t5,Parietal,1
aaaaaaaq_s006_t000.pt,13,0,0,0.1859,Mid 3-6s,t5,Central,1
aaaaaaaq_s006_t000.pt,14,0,0,0.0316,Late 9-10s,p4,Frontal,1
aaaaaaaq_s006_t000.pt,15,0,0,0.0184,Mid 3-6s,c3,Central,1
aaaaaaaq_s006_t000.pt,16,0,0,0.0105,Early 0-3s,c3,Central,1
aaaaaaaq_s006_t000.pt,17,0,0,0.0131,Mid-Late 6-9s,f7,Frontal,1
aaaaaaaq_s006_t000.pt,18,0,0,0.0083,Mid 3-6s,c3,Frontal,1
aaaaaaaq_s006_t000.pt,19,0,0,0.0614,Early 0-3s,c3,Central,1
aaaaaaaq_s006_t000.pt,20,0,0,0.0758,Early 0-3s,c3,Central,1
